id,cutoff_run_id,scout_id,origin,total_affiliations,converted_5trips_7d,not_converted,conversion_rate,tier_reached,payment_per_converted_driver,amount_calculated,amount_approved,status,blocked_reason,created_at,updated_at,drivers_1plus_0_7,drivers_5plus_0_7,drivers_1plus_8_14,drivers_5plus_0_14,conversion_1plus_0_7_rate,conversion_5plus_0_7_rate,conversion_5plus_0_14_rate,metric_used,summary_status,total_activated,total_converted_5v14d,conversion_rate_5v7d,payout_per_activated,total_payable
1,1,2,cabinet,1,0,1,0.0000,,0.00,0.00,0.00,blocked,"Minimo 8 afiliaciones requerido, tiene 1",2026-05-16 12:16:59.263060,2026-05-16 12:16:59.263060,0,0,0,0,0.0000,0.0000,0.0000,5plus_0_7,ok,0,0,,,
2,1,1,cabinet,1,1,0,1.0000,0.4000,40.00,0.00,0.00,blocked,"Minimo 8 afiliaciones requerido, tiene 1",2026-05-16 12:16:59.263060,2026-05-16 12:16:59.263060,1,1,1,1,1.0000,1.0000,1.0000,5plus_0_7,ok,0,0,,,
3,3,2,cabinet,1,0,1,0.0000,,0.00,0.00,0.00,paid,,2026-05-17 09:14:04.860522,2026-05-17 09:14:38.267212,0,0,0,0,0.0000,0.0000,0.0000,5plus_0_7,ok,0,0,,,
4,3,1,cabinet,7,6,1,0.8571,0.4000,40.00,240.00,0.00,paid,,2026-05-17 09:14:04.860522,2026-05-17 09:14:38.267212,6,6,5,6,0.8571,0.8571,0.8571,5plus_0_7,ok,0,0,,,
7,7,1,cabinet,7,6,1,1.0000,0.4000,40.00,0.00,0.00,blocked,"Minimo 8 activados requerido, tiene 6",2026-05-19 23:22:55.707347,2026-05-19 23:22:55.707347,6,6,5,6,0.8571,1.0000,1.0000,5plus_0_7,ok,6,6,1.0000,40.00,0.00
8,7,2,cabinet,1,0,1,0.0000,,0.00,0.00,0.00,blocked,"Minimo 8 activados requerido, tiene 0",2026-05-19 23:22:55.707347,2026-05-19 23:22:55.707347,0,0,0,0,0.0000,0.0000,0.0000,5plus_0_7,ok,0,0,0.0000,0.00,0.00
20,8,2,cabinet,1,0,1,0.0000,,0.00,0.00,0.00,blocked,"Minimo 1 activados requerido, tiene 0",2026-05-19 23:54:43.972736,2026-05-19 23:54:43.972736,0,0,0,0,0.0000,0.0000,0.0000,5plus_0_7,ok,0,0,0.0000,0.00,0.00
19,8,1,cabinet,7,6,1,1.0000,0.4000,40.00,240.00,240.00,paid,,2026-05-19 23:54:43.972736,2026-05-19 23:55:36.643631,6,6,5,6,0.8571,1.0000,1.0000,5plus_0_7,ok,6,6,1.0000,40.00,240.00
21,12,1,cabinet,7,6,1,1.0000,0.4000,40.00,0.00,0.00,blocked,"Minimo 8 activados requerido, tiene 6",2026-05-20 01:01:49.738938,2026-05-20 01:01:49.738938,6,6,5,6,0.8571,1.0000,1.0000,5plus_0_7,ok,6,6,1.0000,40.00,0.00
22,12,2,cabinet,1,0,1,0.0000,,0.00,0.00,0.00,blocked,"Minimo 8 activados requerido, tiene 0",2026-05-20 01:01:49.738938,2026-05-20 01:01:49.738938,0,0,0,0,0.0000,0.0000,0.0000,5plus_0_7,ok,0,0,0.0000,0.00,0.00
23,13,1,cabinet,7,6,1,1.0000,0.7500,120.00,720.00,0.00,pending,,2026-05-20 01:02:59.517347,2026-05-20 01:02:59.517347,6,6,5,6,0.8571,1.0000,1.0000,5plus_0_7,ok,6,6,1.0000,120.00,720.00
24,13,2,cabinet,1,0,1,0.0000,,0.00,0.00,0.00,blocked,"Minimo 1 activados requerido, tiene 0",2026-05-20 01:02:59.517347,2026-05-20 01:02:59.517347,0,0,0,0,0.0000,0.0000,0.0000,5plus_0_7,ok,0,0,0.0000,0.00,0.00
5,4,2,cabinet,1,0,1,0.0000,,0.00,0.00,0.00,paid,,2026-05-17 09:14:59.311661,2026-05-21 21:26:15.616868,0,0,0,0,0.0000,0.0000,0.0000,5plus_0_7,ok,0,0,,,0.00
6,4,1,cabinet,7,6,1,0.8571,0.4000,40.00,240.00,240.00,paid,,2026-05-17 09:14:59.311661,2026-05-21 21:26:15.616868,6,6,5,6,0.8571,0.8571,0.8571,5plus_0_7,ok,0,0,,,240.00
